repository,file,commits,distinct_authors,lines_added,lines_removed,churn,file_age_days,days_since_change
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\replay\event\listener\AuditReplayRemoteRequestEventListener.java,2,2,45,1,46,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\replay\remote\Request.java,2,2,80,0,80,700,1739
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\replay\runner\ReplayTask.java,5,3,320,39,359,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\replay\runner\RunningReplay.java,2,2,29,2,31,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\replay\status\Status.java,2,1,176,2,178,0,2440
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\replay\status\StatusCache.java,3,3,111,6,117,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\org\springframework\cloud\bus\event\AuditReplayRemoteRequestEvent.java,1,1,30,0,30,0,2440
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\auditors\accumulo\AccumuloAuditConfigDisabledTest.java,4,4,10,13,23,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\auditors\accumulo\AccumuloAuditConfigMissingTest.java,4,4,10,13,23,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\auditors\accumulo\AccumuloAuditorTest.java,7,4,72,78,150,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\auditors\log\LogAuditConfigDisabledTest.java,4,4,10,13,23,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\auditors\log\LogAuditConfigMissingTest.java,4,4,10,13,23,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\auditors\log\LogAuditorTest.java,8,5,29,30,59,1358,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\replay\AuditReplayTest.java,17,6,3403,614,4017,1358,1082
NationalSecurityAgency/datawave-audit-service,api\src\main\java\datawave\microservice\audit\replay\status\Status.java,4,1,11,4,15,1340,694
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\common\AuditMessageConsumer.java,2,1,13,15,28,661,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\common\AuditMessageSupplier.java,2,1,24,2,26,661,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\common\AuditMessageConsumerTest.java,3,2,12,11,23,661,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\auditors\accumulo\health\AccumuloHealthChecker.java,2,1,58,4,62,213,1082
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\AuthorizationOperations.java,5,2,180,12,192,612,2436
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\AuthorizationService.java,4,3,21,4,25,1069,1979
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\config\AuthorizationManagementSecurityConfigurer.java,2,2,57,57,114,612,2436
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\config\AuthorizationSecurityConfigurer.java,7,4,122,25,147,1972,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\userdetails\ProxiedEntityUserDetailsService.java,10,5,135,39,174,1972,1077
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizationServiceTest.java,8,3,234,63,297,953,2096
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\mock\MockDULProperties.java,5,3,48,9,57,1970,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\mock\MockDatawaveUserLookup.java,3,3,72,10,82,1970,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\mock\MockDatawaveUserService.java,2,2,82,7,89,1970,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\mock\MockDatawaveUserServiceConfiguration.java,4,3,42,5,47,2298,749
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\AuthorizationException.java,1,1,24,0,24,0,2881
