repository,file,secret_type,line_number,detected_by
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/java/emissary/place/ServiceProviderPlaceTest.java,Secret Keyword,473,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/java/emissary/place/ServiceProviderPlaceTest.java,Secret Keyword,475,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/java/emissary/kff/ChecksumCalculatorTest.java,Hex High Entropy String,27,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/java/emissary/kff/KffDataObjectHandlerTest.java,Hex High Entropy String,38,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/resources/emissary/kff/KffFileTest/100-lines.txt,Hex High Entropy String,2,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/main/config/emissary.client.HTTPConnectionFactory-SSL.cfg,Secret Keyword,2,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/java/emissary/kff/KffDataObjectHandlerTest.java,Hex High Entropy String,44,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/main/resources/emissary/transform/JsonEscapePlace.cfg,Secret Keyword,1,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/main/java/emissary/client/EmissaryClient.java,Secret Keyword,54,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/java/emissary/server/mvc/internal/WorkBundleCompletedActionTest.java,Secret Keyword,31,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/main/resources/emissary/transform/JavascriptEscapePlace.cfg,Secret Keyword,1,detect-secrets
NationalSecurityAgency/emissary,repos/NationalSecurityAgency__emissary/src/test/java/emissary/kff/KffDataObjectHandlerTest.java,Hex High Entropy String,48,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,877,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/util/viewer/field/OperandFieldFactoryTest.java,Base64 High Entropy String,169,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Debug/Framework-TraceModeling/src/test/java/ghidra/pcode/exec/trace/BytesTracePcodeEmulatorTest.java,Hex High Entropy String,733,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerLegacyTest.java,Base64 High Entropy String,32,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,891,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,138,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,460,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,220,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/main/java/ghidra/app/util/bin/format/golang/GoBuildInfo.java,Hex High Entropy String,59,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/program/database/symbol/SymbolManagerTest.java,Base64 High Entropy String,964,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,114,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,253,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,27,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/DebuggerIntegrationTest/src/test.slow/java/agent/lldb/rmi/LldbCommandsTest.java,Hex High Entropy String,463,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,207,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/FileFormats/src/main/java/ghidra/file/formats/ios/apple8900/Apple8900Constants.java,Hex High Entropy String,32,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,182,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,473,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1253,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,292,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,355,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,540,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,250,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1704,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/AARCH64/src/test.slow/java/ghidra/program/emulation/Aarch64PcodeLibraryTest.java,Hex High Entropy String,367,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,122,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1598,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1336,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/AARCH64/src/test.slow/java/ghidra/program/emulation/Aarch64PcodeLibraryTest.java,Hex High Entropy String,393,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Extensions/BSimElasticPlugin/README.md,curl-auth-user,37,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,743,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,312,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,322,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,84,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,4,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,158,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Debug/Framework-TraceModeling/src/test/java/ghidra/trace/database/memory/AbstractDBTraceMemoryManagerRegistersTest.java,Hex High Entropy String,83,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/data/bsim.theme.properties,Secret Keyword,6,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1879,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/FileFormats/src/test/java/ghidra/file/formats/cart/CartV1TestConstants.java,Hex High Entropy String,174,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,285,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,249,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,34,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,418,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1738,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/screen/java/help/screenshot/PdbScreenShots.java,Hex High Entropy String,38,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/SourceFileTest.java,Hex High Entropy String,254,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,637,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,352,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,274,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/PDB/src/test/java/ghidra/app/util/bin/format/pdb2/pdbreader/C13SectionsTest.java,Hex High Entropy String,168,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,944,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/PDB/src/test/java/ghidra/app/util/bin/format/pdb2/pdbreader/PdbByteWriterReaderTest.java,Hex High Entropy String,74,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,140,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/gnu/GnuDemanglerTest.java,Base64 High Entropy String,102,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test/java/ghidra/app/util/bin/format/dwarf/external/HttpDebugInfoDProviderTest.java,Hex High Entropy String,183,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,448,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,6,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,138,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,340,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,102,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,78,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test/java/ghidra/formats/gfilesystem/FileCacheTest.java,Hex High Entropy String,146,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,102,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,113,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,676,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,117,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/MicrosoftDmang/src/test/java/mdemangler/MDMangBaseTest.java,Hex High Entropy String,4616,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/AARCH64/src/test.slow/java/ghidra/program/emulation/Aarch64PcodeLibraryTest.java,Hex High Entropy String,355,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,942,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,281,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,294,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,170,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,245,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/SourceFileTest.java,Hex High Entropy String,246,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,280,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,436,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Framework/Docking/src/test.slow/java/docking/widgets/textfield/IntegerTextFieldTest.java,Base64 High Entropy String,55,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,408,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/src/main/java/ghidra/features/bsim/query/BSimControlLaunchable.java,Secret Keyword,124,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,542,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,108,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1958,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,446,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GhidraServer/src/main/java/ghidra/server/security/loginmodule/ExternalProgramLoginModule.java,Secret Keyword,83,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2319,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/AARCH64/src/test.slow/java/ghidra/program/emulation/Aarch64PcodeLibraryTest.java,Hex High Entropy String,370,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/app/util/demangler/gnu/GnuDemanglerIntegrationTest.java,Base64 High Entropy String,115,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,300,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,310,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,877,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,466,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,193,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Debug/Framework-TraceModeling/src/test/java/ghidra/trace/database/memory/AbstractDBTraceMemoryManagerRegistersTest.java,Hex High Entropy String,106,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,650,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,810,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,109,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/src/main/java/ghidra/features/bsim/query/BSimControlLaunchable.java,Secret Keyword,130,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,22,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Framework/SoftwareModeling/src/main/antlr/ghidra/sleigh/grammar/SleighParser.g,generic-api-key,549,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,406,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/data/base.file.extensions.icons.theme.properties,Secret Keyword,63,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,252,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/PowerPC/src/test/java/ghidra/program/emulation/PpcPcodeUseropLibraryTest.java,Hex High Entropy String,89,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/SourceFileTest.java,Hex High Entropy String,253,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,298,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,103,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/server/remote/SSHKeyUtil.java,private-key,182,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/src/main/java/ghidra/features/bsim/query/BSimControlLaunchable.java,Private Key,568,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/PDB/src/test/java/ghidra/app/util/bin/format/pdb2/pdbreader/C13SectionsTest.java,Hex High Entropy String,156,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1833,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,128,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,238,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,394,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Framework/Generic/src/main/java/ghidra/net/DefaultKeyManagerFactory.java,Secret Keyword,59,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Features/FileFormats/src/test/java/ghidra/file/formats/cart/CartV1TestConstants.java,generic-api-key,51,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,341,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/PDB/src/test/java/pdb/symbolserver/HttpSymbolServerTest.java,Hex High Entropy String,42,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,41,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,475,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/AARCH64/src/test.slow/java/ghidra/program/emulation/Aarch64PcodeLibraryTest.java,Hex High Entropy String,381,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,318,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,741,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,114,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Features/BSim/src/main/java/ghidra/features/bsim/query/BSimControlLaunchable.java,private-key,568,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,90,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1038,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,211,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/UserDataPathTransformerTest.java,Hex High Entropy String,281,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Debug/Framework-TraceModeling/src/test/java/ghidra/trace/database/memory/AbstractDBTraceMemoryManagerRegistersTest.java,Hex High Entropy String,89,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,116,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,158,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/FileFormats/src/test/java/ghidra/file/formats/cart/CartV1TestConstants.java,Hex High Entropy String,169,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,134,detect-secrets
NationalSecurityAgency/ghidra,GhidraBuild/IDAPro/Python/6xx/plugins/xmlexp.py,generic-api-key,1436,gitleaks
