repository,total_commits,first_commit,last_commit,span_days,distinct_active_days
doocs/advanced-java,785,2018-10-06T19:38:31+08:00,2026-05-03T08:58:41+08:00,2765,441
elastic/elasticsearch,100700,2010-02-08T15:22:27+02:00,2026-05-31T22:42:08+02:00,5956,5395
iluwatar/java-design-patterns,4364,2014-08-09T19:52:29+03:00,2026-05-31T18:18:10+03:00,4312,1122
NationalSecurityAgency/ghidra,17554,2019-02-28T22:27:49-05:00,2026-05-29T11:08:59-04:00,2646,1986
spring-projects/spring-boot,61387,2012-10-21T10:53:52-07:00,2026-05-31T20:21:26+02:00,4970,3689
spring-projects/spring-framework,35064,2008-07-10T22:00:24+00:00,2026-05-29T13:31:01+02:00,6531,4899
termux/termux-app,1504,2015-10-25T15:27:32+01:00,2026-04-07T04:11:27+05:00,3816,490
TheAlgorithms/Java,3204,2016-07-16T15:51:03+05:30,2026-05-31T22:21:18+02:00,3606,1284
