repository,file,commits,avg_ccn,hotspot_score
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ServletRequestMethodArgumentResolver.java,38,10.5,399.0
elastic/elasticsearch,server/src/test/java/org/elasticsearch/action/search/TransportSearchActionTests.java,136,2.925,397.79999999999995
termux/termux-app,app/src/main/java/com/termux/app/TermuxService.java,104,3.7906976744186047,394.2325581395349
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/ClassUtils.java,124,3.1710526315789473,393.2105263157895
elastic/elasticsearch,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/StatementParserTests.java,255,1.537313432835821,392.0149253731343
elastic/elasticsearch,x-pack/plugin/esql/qa/testFixtures/src/main/java/org/elasticsearch/xpack/esql/CsvTestUtils.java,92,4.2439024390243905,390.4390243902439
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/IndexMetadata.java,170,2.292134831460674,389.66292134831457
elastic/elasticsearch,server/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java,90,4.3125,388.125
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/engine/Engine.java,228,1.698019801980198,387.1485148514851
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/DataStream.java,182,2.125,386.75
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/IpFieldMapper.java,149,2.593220338983051,386.38983050847463
elastic/elasticsearch,modules/lang-painless/src/main/java/org/elasticsearch/painless/MethodWriter.java,64,6.0,384.0
elastic/elasticsearch,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/optimizer/LogicalPlanOptimizerTests.java,336,1.1244239631336406,377.80645161290323
elastic/elasticsearch,server/src/main/java/org/elasticsearch/search/fetch/FetchPhase.java,109,3.45,376.05
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/ExpressionBuilder.java,112,3.341463414634146,374.2439024390244
elastic/elasticsearch,x-pack/plugin/esql/src/internalClusterTest/java/org/elasticsearch/xpack/esql/action/EsqlActionIT.java,177,2.0934579439252334,370.5420560747663
elastic/elasticsearch,modules/transport-netty4/src/main/java/org/elasticsearch/http/netty4/Netty4HttpServerTransport.java,121,3.0588235294117645,370.1176470588235
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/method/support/InvocableHandlerMethod.java,88,4.1875,368.5
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/AntPathMatcher.java,79,4.651162790697675,367.4418604651163
elastic/elasticsearch,server/src/main/java/org/elasticsearch/indices/recovery/RecoverySourceHandler.java,145,2.52,365.4
elastic/elasticsearch,x-pack/plugin/esql-datasource-parquet/src/main/java/org/elasticsearch/xpack/esql/datasource/parquet/ParquetFormatReader.java,66,5.52054794520548,364.3561643835617
spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/support/ReflectiveConstructorResolver.java,28,13.0,364.0
elastic/elasticsearch,server/src/test/java/org/elasticsearch/index/translog/TranslogTests.java,114,3.19205298013245,363.89403973509934
termux/termux-app,app/src/main/java/com/termux/app/TermuxActivity.java,154,2.3582089552238807,363.1641791044776
termux/termux-app,app/src/main/java/com/termux/app/TermuxInstaller.java,58,6.25,362.5
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/routing/allocation/allocator/BalancedShardsAllocator.java,107,3.382978723404255,361.97872340425533
elastic/elasticsearch,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/analysis/AnalyzerTests.java,315,1.1487889273356402,361.86851211072667
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/test/AbstractQueryTestCase.java,155,2.3333333333333335,361.6666666666667
elastic/elasticsearch,server/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/get/TransportGetSnapshotsAction.java,112,3.206896551724138,359.17241379310343
spring-projects/spring-framework,spring-webflux/src/main/java/org/springframework/web/reactive/result/method/InvocableHandlerMethod.java,83,4.315789473684211,358.2105263157895
spring-projects/spring-framework,spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ScriptUtils.java,48,7.454545454545454,357.8181818181818
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/get/ShardGetService.java,70,5.105263157894737,357.3684210526316
elastic/elasticsearch,server/src/main/java/org/elasticsearch/action/search/AbstractSearchAsyncAction.java,127,2.8095238095238093,356.8095238095238
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/BooleanFieldMapper.java,128,2.760869565217391,353.39130434782606
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/util/UriComponentsBuilder.java,157,2.25,353.25
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/IndexService.java,160,2.202247191011236,352.35955056179773
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/transport/AbstractSimpleTransportTestCase.java,224,1.5724137931034483,352.2206896551724
spring-projects/spring-framework,spring-messaging/src/main/java/org/springframework/messaging/simp/stomp/StompDecoder.java,66,5.333333333333333,352.0
spring-projects/spring-framework,spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassEnhancer.java,80,4.363636363636363,349.09090909090907
elastic/elasticsearch,server/src/test/java/org/elasticsearch/transport/RemoteClusterConnectionTests.java,112,3.0833333333333335,345.33333333333337
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/planner/EsPhysicalOperationProviders.java,135,2.5526315789473686,344.60526315789474
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/resource/ResourceHttpRequestHandler.java,148,2.324324324324324,343.99999999999994
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/MetadataCreateDataStreamService.java,93,3.6923076923076925,343.3846153846154
elastic/elasticsearch,modules/lang-painless/src/main/java/org/elasticsearch/painless/Def.java,85,4.011627906976744,340.98837209302326
spring-projects/spring-framework,spring-context/src/main/java/org/springframework/cache/interceptor/CacheAspectSupport.java,118,2.875,339.25
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/RequestMappingHandlerAdapter.java,154,2.1964285714285716,338.25000000000006
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/IndexAbstractionResolver.java,47,7.166666666666667,336.83333333333337
elastic/elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java,102,3.2954545454545454,336.1363636363636
spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/ast/Indexer.java,88,3.8,334.4
elastic/elasticsearch,server/src/main/java/org/elasticsearch/transport/TcpTransport.java,135,2.4583333333333335,331.875
