model,precision,recall,f1,roc_auc,tp,fp,fn,tn
LogisticRegression,0.0316,0.6264,0.0597,0.7903,17.4,1053.0,13.8,4848.2
DecisionTree,0.0551,0.2985,0.0902,0.6996,9.8,359.8,21.4,5541.4
RandomForest,0.0047,0.0082,0.0059,0.8227,0.4,17.4,30.8,5883.8
XGBoost,0.0,0.0,0.0,0.7839,0.0,16.8,31.2,5884.4
LightGBM,0.0034,0.0041,0.0037,0.795,0.2,12.2,31.0,5889.0
